fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
94,1045277,1014550021,4321.9057,23767.51926,0.18184,2009,1191377,384.25997,2100,24,Good,,1,0,0,classification,1113 YORK AVENUE,MN,,C4-7,,0,-73.95931,40.75985
95,4539949,4004350013,9109.50735,48599.69,0.18744,2010,1114250,467.35025,2100,4,Good,,1,0,0,classification,43-10 CRESCENT STREET,QN,,M1-6/R10,LIC,0,-73.94298,40.74852
96,2119193,2030690101,1329.2569,4169.53138,0.3188,2010,1257049,72.81906,2100,80,Good,,1,0,0,classification,623 EAST 179 STREET,BX,P,R7-1,,0,-73.89147,40.84769
97,3413895,3027360001,2412.95078,33425.11131,0.07219,,1271509,89.07643,2100,8,Good,,1,0,0,classification,544 UNION AVENUE,BK,,M1-2/R6A,MX-8,0,-73.95152,40.71706
98,1004294,1003530041,564.9509,2361.5589,0.23923,1900,1107626,41.71,2100,30,Good,,1,0,0,classification,126 DELANCEY STREET,MN,,C6-2A,,0,-73.98755,40.71872
99,3025949,3010910031,779.54888,1031.84266,0.75549,1901,306257,31.19,2100,157,Good,,1,1,0,greenroofs.com,544 8 STREET,BK,,R7B,,0,-73.97712,40.66538
100,1084106,1019700016,853.13177,10128.83036,0.08423,1926,191579,101.32,2100,73,Good,,1,0,0,classification,70 CONVENT AVENUE,MN,P,R7A,,0,-73.95336,40.81554
101,2009240,2028810040,1232.76159,1670.34365,0.73803,2010,1119176,58.78001,2100,25,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91903,40.85364
102,3017518,3008977504,98.2857,1414.79142,0.06947,2007,1202854,41.00482,2100,92,Good,,0,1,0,greenhomenyc.org,272 21 STREET,BK,,R6B,,0,-73.99237,40.66047
103,1006972,1004710025,2748.73054,5647.66731,0.4867,1901,410434,89.6,2100,27,Good,at least some green roof,1,0,0,classification,176 GRAND STREET,MN,,C6-2G,LI,0,-73.99771,40.71966
104,3008837,3006000005,9743.27731,12154.04754,0.80165,1953,645692,20.04,2100,8,Good,,1,1,0,Visual - pre-classification,169 DWIGHT STREET,BK,,M1-1,,0,-74.01111,40.67389
105,1080300,1006937501,1062.58155,10531.59519,0.10089,1930,475419,77.08,2100,6,Good,,1,0,0,classification,532 WEST 22 STREET,MN,,M1-5,WCH,0,-74.00649,40.74748
106,2009241,2028810040,272.24953,1407.50314,0.19343,2010,1119281,59.78891,2100,24,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91896,40.85369
107,3071776,3031350036,1201.25721,4302.11244,0.27922,1920,389786,48.97859,2100,64,Good,,1,0,0,classification,21 BELVEDERE STREET,BK,X,M1-1,,0,-73.93694,40.69895
108,1086174,1000160180,6688.96226,16322.46649,0.4098,2002,945954,284.92818,2100,13,Good,,1,1,0,greenroofs.com,20 RIVER TERRACE,MN,X,BPC,BPC,0,-74.01615,40.71665
109,2114651,2028720058,4805.24121,30457.14844,0.15777,2006,1097727,93.97136,2100,104,Good,,1,0,0,classification,1404 JESUP AVENUE,BX,P,R7-1,J,0,-73.92,40.84155
110,1088111,1017830012,6043.39638,9654.38485,0.62597,2007,1108312,69.47594,2100,14,Good,,1,0,0,classification,225 EAST 118 STREET,MN,P,R7A,,0,-73.93766,40.79884
111,1087841,1009397501,810.7346,15668.09055,0.05174,2009,1112075,146.50472,2100,13,Good,,1,0,0,classification,303 EAST 33 STREET,MN,,R8A,TA,0,-73.97527,40.74387
112,2009242,2028810040,230.66276,1709.8371,0.1349,2010,1119207,59.78891,2100,24,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91895,40.85377
113,2009243,2028810040,1415.55094,2389.45499,0.59242,2010,1119378,71.29534,2100,28,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91884,40.85386
114,1046650,1014920069,1742.14459,8567.97273,0.20333,1926,296980,173.96071,2100,83,Good,,1,0,0,classification,995 5 AVENUE,MN,,R10,PI,0,-73.96263,40.77804
115,2009245,2028810040,1600.72041,2343.51732,0.68304,2010,1117087,51.78001,2100,32,Good,,1,0,0,classification,1854 CEDAR AVENUE,BX,P,R6,,0,-73.91868,40.85401
116,1087780,1016767504,578.88464,5771.03119,0.10031,2007,1093641,146.10767,2100,8,Good,,1,1,0,Visual - pre-classification,2019 1 AVENUE,MN,,R8A,,0,-73.94113,40.78862
117,1026318,1010497501,4848.07676,145737.925,0.03327,2004,950631,714.91,2100,84,Good,,1,0,0,classification,35 COLUMBUS CIRCLE,MN,,C6-6,MID,0,-73.9833,40.76811
118,3063878,3025030001,4622.75892,57327.0436,0.08064,1931,45439,38.06,2100,12,Good,,1,1,0,greenroofs.com,198 WEST STREET,BK,P,M1-2/R6A,MX-8,0,-73.95969,40.73428
119,3001641,3002200111,224.84112,592.92771,0.3792,1800,384177,18.88761,2100,64,Good,,0,1,0,classification,36 CRANBERRY STREET,BK,,R6,,0,-73.99399,40.69982
120,1002934,1002260001,545.29831,62952.18649,0.00866,1930,475180,245.44,2100,11,Good,,1,0,0,classification,431 CANAL STREET,MN,P,M1-6,HSQ,0,-74.00637,40.72364
